scenario,rcp_scenario,target_year,wildfire_outage_rate,flood_outage_rate,slr_capacity_derate,compound_multiplier,fwi_index,flood_return_period_yr,slr_meters,data_source,literature_citation,notes,data_source_type
corr_baseline,current,2024,0.000548,2.9e-05,0.0,1.0,0.0,100.0,0.0,Corrected Literature (2024 Review),[Kim 2025] Korea Wildfires; [Kim 2024] Samcheok Floods; [IPCC AR6] SLR,"RECOMMENDED: Korea-specific data, not California",corrected_literature
corr_rcp45_2024,RCP4.5,2024,0.000548,2.9e-05,0.0,1.0,0.0,100.0,0.0,Corrected Literature (2024 Review),[Kim 2025] Korea Wildfires; [Kim 2024] Samcheok Floods; [IPCC AR6] SLR,"RECOMMENDED: Korea-specific data, not California",corrected_literature
corr_rcp45_2030,RCP4.5,2030,0.000658,2.9e-05,0.00022,1.0,0.0,100.0,0.1,Corrected Literature (2024 Review),[Kim 2025] Korea Wildfires; [Kim 2024] Samcheok Floods; [IPCC AR6] SLR,"RECOMMENDED: Korea-specific data, not California",corrected_literature
corr_rcp45_2040,RCP4.5,2040,0.000822,2.9e-05,0.000418,1.001,0.0,100.0,0.19,Corrected Literature (2024 Review),[Kim 2025] Korea Wildfires; [Kim 2024] Samcheok Floods; [IPCC AR6] SLR,"RECOMMENDED: Korea-specific data, not California",corrected_literature
corr_rcp45_2050,RCP4.5,2050,0.000822,3.1e-05,0.000418,1.051,0.0,100.0,0.19,Corrected Literature (2024 Review),[Kim 2025] Korea Wildfires; [Kim 2024] Samcheok Floods; [IPCC AR6] SLR,"RECOMMENDED: Korea-specific data, not California",corrected_literature
corr_rcp45_2060,RCP4.5,2060,0.001096,3.1e-05,0.000418,1.051,0.0,100.0,0.19,Corrected Literature (2024 Review),[Kim 2025] Korea Wildfires; [Kim 2024] Samcheok Floods; [IPCC AR6] SLR,"RECOMMENDED: Korea-specific data, not California",corrected_literature
corr_rcp85_2024,RCP8.5,2024,0.000548,2.9e-05,0.0,1.0,0.0,100.0,0.0,Corrected Literature (2024 Review),[Kim 2025] Korea Wildfires; [Kim 2024] Samcheok Floods; [IPCC AR6] SLR,"RECOMMENDED: Korea-specific data, not California",corrected_literature
corr_rcp85_2030,RCP8.5,2030,0.000712,2.9e-05,0.00022,1.05,0.0,100.0,0.1,Corrected Literature (2024 Review),[Kim 2025] Korea Wildfires; [Kim 2024] Samcheok Floods; [IPCC AR6] SLR,"RECOMMENDED: Korea-specific data, not California",corrected_literature
corr_rcp85_2040,RCP8.5,2040,0.001096,2.9e-05,0.00055,1.051,0.0,100.0,0.25,Corrected Literature (2024 Review),[Kim 2025] Korea Wildfires; [Kim 2024] Samcheok Floods; [IPCC AR6] SLR,"RECOMMENDED: Korea-specific data, not California",corrected_literature
corr_rcp85_2050,RCP8.5,2050,0.001096,3.1e-05,0.00055,1.101,0.0,100.0,0.25,Corrected Literature (2024 Review),[Kim 2025] Korea Wildfires; [Kim 2024] Samcheok Floods; [IPCC AR6] SLR,"RECOMMENDED: Korea-specific data, not California",corrected_literature
corr_rcp85_2060,RCP8.5,2060,0.002192,3.1e-05,0.001606,1.152,0.0,100.0,0.73,Corrected Literature (2024 Review),[Kim 2025] Korea Wildfires; [Kim 2024] Samcheok Floods; [IPCC AR6] SLR,"RECOMMENDED: Korea-specific data, not California",corrected_literature
clim_baseline,current,2024,0.01,0.0003,0.0,1.0,20.0,100.0,0.0,CLIMADA+IPCC,,Current climate baseline,climada_synthetic
clim_climada_rcp45_2030,RCP45,2030,0.0106,0.0003,0.0,1.0,0.0,100.0,0.09,CLIMADA RiverFlood + IPCC AR6,,Automated CLIMADA extraction,climada_synthetic
clim_climada_rcp45_2040,RCP45,2040,0.0116,0.0003,0.014,1.07,0.0,100.0,0.14,CLIMADA RiverFlood + IPCC AR6,,Automated CLIMADA extraction,climada_synthetic
clim_climada_rcp45_2050,RCP45,2050,0.0126,0.0003,0.019,1.1,0.0,100.0,0.19,CLIMADA RiverFlood + IPCC AR6,,Automated CLIMADA extraction,climada_synthetic
clim_climada_rcp45_2060,RCP45,2060,0.0136,0.0004,0.024,1.12,0.0,100.0,0.24,CLIMADA RiverFlood + IPCC AR6,,Automated CLIMADA extraction,climada_synthetic
clim_climada_rcp85_2030,RCP85,2030,0.0127,0.0003,0.01,1.05,0.0,100.0,0.1,CLIMADA RiverFlood + IPCC AR6,,Automated CLIMADA extraction,climada_synthetic
clim_climada_rcp85_2040,RCP85,2040,0.0139,0.0004,0.0175,1.09,0.0,100.0,0.17,CLIMADA RiverFlood + IPCC AR6,,Automated CLIMADA extraction,climada_synthetic
clim_climada_rcp85_2050,RCP85,2050,0.0151,0.0004,0.025,1.13,0.0,100.0,0.25,CLIMADA RiverFlood + IPCC AR6,,Automated CLIMADA extraction,climada_synthetic
clim_climada_rcp85_2060,RCP85,2060,0.0163,0.0007,0.0326,1.17,0.0,100.0,0.33,CLIMADA RiverFlood + IPCC AR6,,Automated CLIMADA extraction,climada_synthetic
lit_baseline,current,2024,0.01,0.01,0.0,1.0,20.0,100.0,0.0,CAISO 2003-2016 + Seoul Flood Policy,[CAISO] 336 fires/14yrs with 10% major impact; [Seoul] 100-yr design standard,DEPRECATED: Literature-backed baseline from California wildfire data and Korean flood standards,deprecated_literature
lit_moderate_physical,RCP4.5,2040,0.015,0.015,0.009,1.2,26.0,65.0,0.18,IPCC AR6 + CAISO + Zscheischler 2018,[IPCC AR6] RCP4.5 projections; [Zscheischler] 1.2x base compound multiplier,DEPRECATED: Mid-century RCP4.5 with literature-backed compound risk,deprecated_literature
lit_moderate_physical_2024,RCP4.5,2024,0.01,0.01,0.0,1.0,20.0,100.0,0.0,CAISO 2003-2016 + Seoul Flood Policy,"Same as baseline, starting point for trajectory",DEPRECATED: Starting point same as baseline,deprecated_literature
lit_moderate_physical_2030,RCP4.5,2030,0.0125,0.0125,0.0045,1.1,23.0,80.0,0.1,IPCC AR6 + CAISO,Linear interpolation between 2024-2040; [IPCC AR6] 0.1m SLR by 2030 RCP4.5,DEPRECATED: Early transition with climate adjustment,deprecated_literature
lit_moderate_physical_2040,RCP4.5,2040,0.015,0.015,0.009,1.2,26.0,65.0,0.18,IPCC AR6 + CAISO + Zscheischler 2018,[IPCC AR6] RCP4.5 mid-century; [Zscheischler] compound risk,DEPRECATED: Mid-century RCP4.5 scenario,deprecated_literature
lit_moderate_physical_2050,RCP4.5,2050,0.0175,0.0175,0.014,1.25,28.0,55.0,0.28,IPCC AR6 + CAISO + Zscheischler 2018,[IPCC AR6] 0.28m SLR RCP4.5 2050; 1.5% increase from 2040,DEPRECATED: Paris Agreement 2C pathway,deprecated_literature
lit_moderate_physical_2060,RCP4.5,2060,0.02,0.02,0.019,1.3,30.0,50.0,0.35,IPCC AR6 + extrapolation,Continued RCP4.5 trajectory with increasing compound effects,DEPRECATED: Late century RCP4.5,deprecated_literature
lit_high_physical,RCP8.5,2040,0.02,0.02,0.012,1.35,32.0,50.0,0.25,IPCC AR6 + NREL 2023 + Zscheischler 2018,[NREL] Higher wildfire risk; [Zscheischler] 1.35x compound for high stress,DEPRECATED: High emissions mid-trajectory with elevated compound risk,deprecated_literature
lit_high_physical_2024,RCP8.5,2024,0.01,0.01,0.0,1.0,20.0,100.0,0.0,CAISO 2003-2016 + Seoul Flood Policy,"Same as baseline, RCP divergence begins after 2030",DEPRECATED: Starting point same as baseline,deprecated_literature
lit_high_physical_2030,RCP8.5,2030,0.015,0.015,0.006,1.2,25.0,75.0,0.12,IPCC AR6 + CAISO + Zscheischler 2018,Earlier divergence from RCP4.5; [IPCC AR6] 0.12m SLR RCP8.5 2030,DEPRECATED: High emissions early divergence,deprecated_literature
lit_high_physical_2040,RCP8.5,2040,0.02,0.02,0.012,1.35,32.0,50.0,0.25,IPCC AR6 + NREL 2023 + Zscheischler 2018,[NREL] 2023 power system wildfire study; [IPCC] RCP8.5 mid-century,DEPRECATED: High emissions accelerating,deprecated_literature
lit_high_physical_2050,RCP8.5,2050,0.025,0.025,0.0225,1.45,38.0,40.0,0.45,IPCC AR6 + NREL 2023 + Zscheischler 2018,[IPCC AR6] 0.45m SLR RCP8.5 2050; elevated compound multiplier,DEPRECATED: High emissions mid-century,deprecated_literature
lit_high_physical_2060,RCP8.5,2060,0.03,0.035,0.035,1.55,44.0,30.0,0.7,IPCC AR6 + extrapolation + Zscheischler 2018,Approaching max compound multiplier (2.0x); severe infrastructure stress,DEPRECATED: High emissions late-century,deprecated_literature
lit_extreme_physical,RCP8.5,2050,0.03,0.035,0.035,1.65,48.0,25.0,0.7,IPCC AR6 90th percentile + Nature Comm 2024,[Nature Comm] 70% underestimation without asset-level analysis,DEPRECATED: Extreme scenario using 90th percentile projections,deprecated_literature
lit_extreme_physical_2050,RCP8.5,2050,0.03,0.035,0.035,1.65,48.0,25.0,0.7,IPCC AR6 90th percentile + Nature Comm 2024,[Nature Comm 2024] Asset-level risk study; 82% underestimation of tail risks,DEPRECATED: Extreme scenario high end,deprecated_literature
lit_extreme_physical_2060,RCP8.5,2060,0.04,0.05,0.05,1.8,55.0,20.0,0.9,IPCC AR6 90th percentile + Zscheischler 2018,Approaching 2.0x max compound multiplier; severe cascading failures,DEPRECATED: Extreme scenario very high,deprecated_literature
lit_compound_extreme,RCP8.5,2050,0.035,0.04,0.045,1.85,52.0,20.0,0.8,Zscheischler 2018 + Nature Comm 2024,[Zscheischler] Concurrent hazards; compound multiplier near maximum,DEPRECATED: Concurrent wildfire+flood+SLR designed scenario,deprecated_literature
lit_compound_catastrophic,RCP8.5,2060,0.05,0.06,0.06,2.0,60.0,15.0,1.1,Zscheischler 2018 (maximum) + IPCC AR6,[Zscheischler] Maximum 2.0x compound multiplier; cascading infrastructure failure,DEPRECATED: Worst-case scenario at literature maximum,deprecated_literature
