scenario,rcp_scenario,target_year,wildfire_outage_rate,flood_outage_rate,slr_capacity_derate,compound_multiplier,fwi_index,flood_return_period_yr,slr_meters,data_source,literature_citation,notes,data_source_type
corr_baseline,current,2024,0.000548,2.9e-05,0.0,1.0,0.0,100.0,0.0,Corrected Literature (2024 Review),[Kim 2025] Korea Wildfires; [Kim 2024] Samcheok Floods; [IPCC AR6] SLR; [Van Vliet 2016] Efficiency,"Based on Korea-specific data, not California",corrected_literature
corr_rcp45_2024,RCP4.5,2024,0.000548,2.9e-05,0.0,1.0,0.0,100.0,0.0,Corrected Literature (2024 Review),[Kim 2025] Korea Wildfires; [Kim 2024] Samcheok Floods; [IPCC AR6] SLR; [Van Vliet 2016] Efficiency,"Based on Korea-specific data, not California",corrected_literature
corr_rcp45_2030,RCP4.5,2030,0.000658,2.9e-05,0.00022,1.0,0.0,100.0,0.1,Corrected Literature (2024 Review),[Kim 2025] Korea Wildfires; [Kim 2024] Samcheok Floods; [IPCC AR6] SLR; [Van Vliet 2016] Efficiency,"Based on Korea-specific data, not California",corrected_literature
corr_rcp45_2040,RCP4.5,2040,0.000822,2.9e-05,0.000418,1.001,0.0,100.0,0.19,Corrected Literature (2024 Review),[Kim 2025] Korea Wildfires; [Kim 2024] Samcheok Floods; [IPCC AR6] SLR; [Van Vliet 2016] Efficiency,"Based on Korea-specific data, not California",corrected_literature
corr_rcp45_2050,RCP4.5,2050,0.000822,3.1e-05,0.000418,1.051,0.0,100.0,0.19,Corrected Literature (2024 Review),[Kim 2025] Korea Wildfires; [Kim 2024] Samcheok Floods; [IPCC AR6] SLR; [Van Vliet 2016] Efficiency,"Based on Korea-specific data, not California",corrected_literature
corr_rcp45_2060,RCP4.5,2060,0.001096,3.1e-05,0.000418,1.051,0.0,100.0,0.19,Corrected Literature (2024 Review),[Kim 2025] Korea Wildfires; [Kim 2024] Samcheok Floods; [IPCC AR6] SLR; [Van Vliet 2016] Efficiency,"Based on Korea-specific data, not California",corrected_literature
corr_rcp85_2024,RCP8.5,2024,0.000548,2.9e-05,0.0,1.0,0.0,100.0,0.0,Corrected Literature (2024 Review),[Kim 2025] Korea Wildfires; [Kim 2024] Samcheok Floods; [IPCC AR6] SLR; [Van Vliet 2016] Efficiency,"Based on Korea-specific data, not California",corrected_literature
corr_rcp85_2030,RCP8.5,2030,0.000712,2.9e-05,0.00022,1.05,0.0,100.0,0.1,Corrected Literature (2024 Review),[Kim 2025] Korea Wildfires; [Kim 2024] Samcheok Floods; [IPCC AR6] SLR; [Van Vliet 2016] Efficiency,"Based on Korea-specific data, not California",corrected_literature
corr_rcp85_2040,RCP8.5,2040,0.001096,2.9e-05,0.00055,1.051,0.0,100.0,0.25,Corrected Literature (2024 Review),[Kim 2025] Korea Wildfires; [Kim 2024] Samcheok Floods; [IPCC AR6] SLR; [Van Vliet 2016] Efficiency,"Based on Korea-specific data, not California",corrected_literature
corr_rcp85_2050,RCP8.5,2050,0.001096,3.1e-05,0.00055,1.101,0.0,100.0,0.25,Corrected Literature (2024 Review),[Kim 2025] Korea Wildfires; [Kim 2024] Samcheok Floods; [IPCC AR6] SLR; [Van Vliet 2016] Efficiency,"Based on Korea-specific data, not California",corrected_literature
corr_rcp85_2060,RCP8.5,2060,0.002192,3.1e-05,0.001606,1.152,0.0,100.0,0.73,Corrected Literature (2024 Review),[Kim 2025] Korea Wildfires; [Kim 2024] Samcheok Floods; [IPCC AR6] SLR; [Van Vliet 2016] Efficiency,"Based on Korea-specific data, not California",corrected_literature
