scenario,rcp,year,lit_wildfire_rate,lit_flood_rate,lit_slr_derate,lit_compound,lit_total_outage,clim_wildfire_rate,clim_flood_rate,clim_slr_derate,clim_compound,clim_total_outage,flood_ratio,outage_ratio,lit_cf_impact,clim_cf_impact,lit_revenue_loss_M,clim_revenue_loss_M,uncertainty_range_M
baseline,CURRENT,2024,1.00%,1.00%,0.00%,1.00x,2.00%,1.00%,0.03%,0.00%,1.00x,1.03%,33.3x,1.9x,98.00%,98.97%,$25.0M,$12.9M,$12.1M
moderate_physical,RCP45,2040,1.50%,1.50%,0.90%,1.20x,3.60%,1.16%,0.03%,1.40%,1.07x,1.27%,50.0x,2.8x,95.53%,97.34%,$55.9M,$33.2M,$22.7M
moderate_physical_2024,RCP45,2024,1.00%,1.00%,0.00%,1.00x,2.00%,1.00%,0.03%,0.00%,1.00x,1.03%,33.3x,1.9x,98.00%,98.97%,$25.0M,$12.9M,$12.1M
moderate_physical_2030,RCP45,2030,1.25%,1.25%,0.45%,1.10x,2.75%,1.06%,0.03%,0.00%,1.00x,1.09%,41.7x,2.5x,96.81%,98.91%,$39.9M,$13.6M,$26.2M
moderate_physical_2040,RCP45,2040,1.50%,1.50%,0.90%,1.20x,3.60%,1.16%,0.03%,1.40%,1.07x,1.27%,50.0x,2.8x,95.53%,97.34%,$55.9M,$33.2M,$22.7M
moderate_physical_2050,RCP45,2050,1.75%,1.75%,1.40%,1.25x,4.38%,1.26%,0.03%,1.90%,1.10x,1.42%,58.3x,3.1x,94.29%,96.71%,$71.5M,$41.2M,$30.3M
moderate_physical_2060,RCP45,2060,2.00%,2.00%,1.90%,1.30x,5.20%,1.36%,0.04%,2.40%,1.12x,1.57%,50.0x,3.3x,93.00%,96.07%,$87.6M,$49.2M,$38.4M
high_physical,RCP85,2040,2.00%,2.00%,1.20%,1.35x,5.40%,1.39%,0.04%,1.75%,1.09x,1.56%,50.0x,3.5x,93.46%,96.72%,$81.8M,$41.0M,$40.7M
high_physical_2024,RCP85,2024,1.00%,1.00%,0.00%,1.00x,2.00%,1.00%,0.03%,0.00%,1.00x,1.03%,33.3x,1.9x,98.00%,98.97%,$25.0M,$12.9M,$12.1M
high_physical_2030,RCP85,2030,1.50%,1.50%,0.60%,1.20x,3.60%,1.27%,0.03%,1.00%,1.05x,1.36%,50.0x,2.6x,95.82%,97.65%,$52.3M,$29.4M,$22.9M
high_physical_2040,RCP85,2040,2.00%,2.00%,1.20%,1.35x,5.40%,1.39%,0.04%,1.75%,1.09x,1.56%,50.0x,3.5x,93.46%,96.72%,$81.8M,$41.0M,$40.7M
high_physical_2050,RCP85,2050,2.50%,2.50%,2.25%,1.45x,7.25%,1.51%,0.04%,2.50%,1.13x,1.75%,62.5x,4.1x,90.66%,95.79%,$116.8M,$52.6M,$64.2M
high_physical_2060,RCP85,2060,3.00%,3.50%,3.50%,1.55x,10.08%,1.63%,0.07%,3.26%,1.17x,1.99%,50.0x,5.1x,86.78%,94.82%,$165.4M,$64.9M,$100.6M
extreme_physical,RCP85,2050,3.00%,3.50%,3.50%,1.65x,10.72%,1.51%,0.04%,2.50%,1.13x,1.75%,87.5x,6.1x,86.15%,95.79%,$173.2M,$52.6M,$120.6M
extreme_physical_2050,RCP85,2050,3.00%,3.50%,3.50%,1.65x,10.72%,1.51%,0.04%,2.50%,1.13x,1.75%,87.5x,6.1x,86.15%,95.79%,$173.2M,$52.6M,$120.6M
extreme_physical_2060,RCP85,2060,4.00%,5.00%,5.00%,1.80x,16.20%,1.63%,0.07%,3.26%,1.17x,1.99%,71.4x,8.1x,79.61%,94.82%,$255.1M,$64.9M,$190.2M
compound_extreme,RCP85,2050,3.50%,4.00%,4.50%,1.85x,13.88%,1.51%,0.04%,2.50%,1.13x,1.75%,100.0x,7.9x,82.25%,95.79%,$222.0M,$52.6M,$169.4M
compound_catastrophic,RCP85,2060,5.00%,6.00%,6.00%,2.00x,22.00%,1.63%,0.07%,3.26%,1.17x,1.99%,85.7x,11.1x,73.32%,94.82%,$333.7M,$64.9M,$268.9M
