year,scenario,hazard,base_rate,climate_multiplier,adjusted_rate,formula
2024,Baseline,Wildfire,0.00055,1.0,0.00055,0.00055 × 1.0 = 0.00055
2024,Baseline,Flood,0.00003,1.0,0.00003,0.00003 × 1.0 = 0.00003
2024,Baseline,SLR_Derate,0.0022,0.00,0.00000,0.0022 × 0.00m = 0.00000
2030,RCP4.5,Wildfire,0.00055,1.2,0.00066,0.00055 × 1.2 = 0.00066
2030,RCP4.5,Flood,0.00003,1.0,0.00003,0.00003 × 1.0 = 0.00003
2030,RCP4.5,SLR_Derate,0.0022,0.10,0.00022,0.0022 × 0.10m = 0.00022
2050,RCP4.5,Wildfire,0.00055,1.5,0.000825,0.00055 × 1.5 = 0.000825
2050,RCP4.5,Flood,0.00003,1.07,0.0000321,0.00003 × 1.07 = 0.0000321
2050,RCP4.5,SLR_Derate,0.0022,0.19,0.000418,0.0022 × 0.19m = 0.000418
2030,RCP8.5,Wildfire,0.00055,1.3,0.000715,0.00055 × 1.3 = 0.000715
2030,RCP8.5,Flood,0.00003,1.0,0.00003,0.00003 × 1.0 = 0.00003
2030,RCP8.5,SLR_Derate,0.0022,0.10,0.00022,0.0022 × 0.10m = 0.00022
2050,RCP8.5,Wildfire,0.00055,2.0,0.0011,0.00055 × 2.0 = 0.0011
2050,RCP8.5,Flood,0.00003,1.07,0.0000321,0.00003 × 1.07 = 0.0000321
2050,RCP8.5,SLR_Derate,0.0022,0.25,0.00055,0.0022 × 0.25m = 0.00055
2060,RCP8.5,Wildfire,0.00055,4.0,0.0022,0.00055 × 4.0 = 0.0022
2060,RCP8.5,Flood,0.00003,1.15,0.0000345,0.00003 × 1.15 = 0.0000345
2060,RCP8.5,SLR_Derate,0.0022,0.73,0.001606,0.0022 × 0.73m = 0.001606
