year,scenario,data_source,wildfire_rate,flood_rate,tc_rate,slr_derate,total_outage,total_cf_reduction,downtime_hours,notes
2024,Baseline,CLIMADA Historical,0.0082%,0.0000%,0.0205%,0.0000%,0.0287%,0.0287%,2.5,CLIMADA baseline from FIRMS/IBTrACS
2030,SSP2-4.5,CLIMADA + Verified Factors,0.0098%,0.0000%,0.0215%,0.0110%,0.0314%,0.0424%,3.7,Wildfire 1.2x | TC 1.05x | SLR 0.05m
2050,SSP2-4.5,CLIMADA + Verified Factors,0.0123%,0.0000%,0.0226%,0.0264%,0.0349%,0.0612%,5.4,Wildfire 1.5x | TC 1.10x | SLR 0.12m
2100,SSP2-4.5,CLIMADA + Verified Factors,0.0164%,0.0000%,0.0236%,0.0550%,0.0400%,0.0948%,8.3,Wildfire 2.0x | TC 1.15x | SLR 0.25m
2030,SSP5-8.5,CLIMADA + Verified Factors,0.0107%,0.0000%,0.0221%,0.0132%,0.0328%,0.0460%,4.0,Wildfire 1.3x | TC 1.08x | SLR 0.06m
2050,SSP5-8.5,CLIMADA + Verified Factors,0.0164%,0.0000%,0.0236%,0.0396%,0.0400%,0.0794%,7.0,Wildfire 2.0x | TC 1.15x | SLR 0.18m
2100,SSP5-8.5,CLIMADA + Verified Factors,0.0328%,0.0000%,0.0256%,0.1386%,0.0584%,0.1962%,17.2,Wildfire 4.0x | TC 1.25x | SLR 0.63m
2024,Baseline,Literature,0.0550%,0.0030%,N/A,0.0000%,0.0580%,0.0580%,5.1,Kim et al. (2025) + Kang & Lee (2024)
2030,SSP5-8.5,Literature + Verified Factors,0.0715%,0.0039%,N/A,0.0132%,0.0754%,0.0885%,7.8,Literature baseline × verified multipliers
2050,SSP5-8.5,Literature + Verified Factors,0.1100%,0.0044%,N/A,0.0396%,0.1144%,0.1535%,13.4,Literature baseline × verified multipliers
2100,SSP5-8.5,Literature + Verified Factors,0.2200%,0.0079%,N/A,0.1386%,0.2279%,0.3634%,31.8,Literature baseline × verified multipliers
