event_id,event_name,hazard_type,date,location,intensity,intensity_unit,observed_damage_usd,exposed_value_usd,damage_ratio,source,data_quality
KR-TC-2020-09,Typhoon MAYSAK,tropical_cyclone,2020-09-03,Busan,45.0,m/s,150000000,50000000000,0.003,NDMS Korean Re,1.0
KR-TC-2020-09B,Typhoon HAISHEN,tropical_cyclone,2020-09-07,Ulsan,42.0,m/s,120000000,45000000000,0.0027,NDMS Korean Re,1.0
KR-TC-2022-09,Typhoon HINNAMNOR,tropical_cyclone,2022-09-06,Pohang,49.0,m/s,2000000000,100000000000,0.020,NDMS,1.0
KR-TC-2003-09,Typhoon MAEMI,tropical_cyclone,2003-09-12,Nationwide,54.0,m/s,4800000000,200000000000,0.024,EM-DAT NDMS,1.0
KR-TC-2002-08,Typhoon RUSA,tropical_cyclone,2002-08-31,Gangwon,42.0,m/s,5500000000,180000000000,0.031,EM-DAT NDMS,0.9
KR-TC-2019-09,Typhoon LINGLING,tropical_cyclone,2019-09-07,West Coast,38.0,m/s,80000000,40000000000,0.002,NDMS,0.95
KR-TC-2018-08,Typhoon SOULIK,tropical_cyclone,2018-08-23,Jeju,35.0,m/s,50000000,30000000000,0.0017,NDMS,0.95
KR-TC-2016-10,Typhoon CHABA,tropical_cyclone,2016-10-05,Busan,45.0,m/s,250000000,60000000000,0.0042,NDMS EM-DAT,0.95
KR-TC-2012-08,Typhoon BOLAVEN,tropical_cyclone,2012-08-28,Nationwide,40.0,m/s,600000000,150000000000,0.004,EM-DAT,0.9
KR-TC-2010-09,Typhoon KOMPASU,tropical_cyclone,2010-09-02,Seoul,32.0,m/s,180000000,120000000000,0.0015,NDMS,0.9
KR-FL-2020-08,Central Region Floods 2020,river_flood,2020-08-05,Central Korea,2.5,m,1200000000,80000000000,0.015,MOLIT NDMS,1.0
KR-FL-2022-08,Seoul Metropolitan Floods,river_flood,2022-08-08,Seoul,1.8,m,600000000,150000000000,0.004,Seoul Metro NDMS,1.0
KR-FL-2011-07,Seoul Floods 2011,river_flood,2011-07-27,Seoul,1.5,m,400000000,120000000000,0.0033,NDMS,0.95
KR-FL-2006-07,Central Region Floods 2006,river_flood,2006-07-15,Central Korea,2.2,m,800000000,70000000000,0.0114,NDMS EM-DAT,0.85
KR-FL-1998-08,Nationwide Floods 1998,river_flood,1998-08-01,Nationwide,2.8,m,1100000000,60000000000,0.0183,EM-DAT,0.8
KR-FL-1999-07,Gyeonggi Floods 1999,river_flood,1999-07-23,Gyeonggi,2.0,m,700000000,55000000000,0.0127,NDMS,0.8
KR-FL-2001-07,East Coast Floods 2001,river_flood,2001-07-15,Gangwon,1.8,m,350000000,40000000000,0.0088,NDMS,0.85
KR-WF-2019-04,Gangwon Wildfires 2019,wildfire,2019-04-04,Gangwon,55.0,FWI,150000000,5000000000,0.030,KFS NDMS,1.0
KR-WF-2022-03,Uljin-Samcheok Fire,wildfire,2022-03-04,Gangwon,62.0,FWI,200000000,8000000000,0.025,KFS,1.0
KR-WF-2000-04,East Coast Wildfires 2000,wildfire,2000-04-07,Gangwon,58.0,FWI,180000000,6000000000,0.030,KFS,0.85
KR-WF-2005-04,Yangyang Fire,wildfire,2005-04-05,Gangwon,48.0,FWI,130000000,4000000000,0.0325,KFS,0.85
KR-WF-2017-05,Gangneung Fire,wildfire,2017-05-06,Gangwon,45.0,FWI,80000000,3000000000,0.0267,KFS,0.9
KR-WF-2023-04,Hongseong Fire,wildfire,2023-04-02,Chungnam,52.0,FWI,120000000,5500000000,0.0218,KFS,1.0
KR-WF-1996-04,Goseong Fire,wildfire,1996-04-23,Gangwon,50.0,FWI,95000000,3500000000,0.0271,KFS historical,0.75
KR-DR-2015,Drought 2015,drought,2015-06-15,Nationwide,-1.8,SPI,500000000,100000000000,0.005,KMA,0.9
KR-DR-2017,Drought 2017,drought,2017-05-20,Nationwide,-1.5,SPI,350000000,100000000000,0.0035,KMA,0.9
KR-DR-2001,Drought 2001,drought,2001-04-15,Nationwide,-2.1,SPI,800000000,90000000000,0.0089,KMA EM-DAT,0.85
KR-DR-2008-09,Drought 2008-2009,drought,2008-09-01,Nationwide,-1.6,SPI,400000000,95000000000,0.0042,KMA,0.9
KR-DR-2012,Drought 2012,drought,2012-06-01,Nationwide,-1.3,SPI,250000000,100000000000,0.0025,KMA,0.9
KR-DR-2022,Drought 2022,drought,2022-03-15,Nationwide,-1.4,SPI,300000000,105000000000,0.0029,KMA,1.0
KR-HW-2018-08,Heat Wave 2018,heat_stress,2018-08-01,Nationwide,40.5,C,280000000,50000000000,0.0056,KMA,0.95
KR-HW-2022-08,Heat Wave 2022,heat_stress,2022-08-02,Nationwide,38.5,C,150000000,50000000000,0.003,KMA,1.0
KR-HW-2016-08,Heat Wave 2016,heat_stress,2016-08-12,Nationwide,38.0,C,130000000,48000000000,0.0027,KMA,0.95
KR-HW-2013-08,Heat Wave 2013,heat_stress,2013-08-07,Nationwide,39.2,C,180000000,45000000000,0.004,KMA,0.9
KR-HW-1994-07,Heat Wave 1994,heat_stress,1994-07-24,Nationwide,39.0,C,120000000,35000000000,0.0034,KMA historical,0.8
KR-HW-2023-08,Heat Wave 2023,heat_stress,2023-08-05,Nationwide,38.8,C,160000000,52000000000,0.0031,KMA,1.0
KR-CF-2003-09,Coastal Surge MAEMI,coastal_flood,2003-09-12,Busan Masan,2.3,m,800000000,40000000000,0.020,KHOA NDMS,0.9
KR-CF-2016-10,Coastal Surge CHABA,coastal_flood,2016-10-05,Busan,1.8,m,200000000,35000000000,0.0057,KHOA NDMS,0.95
KR-CF-2020-09,Coastal Surge MAYSAK,coastal_flood,2020-09-03,Busan,1.5,m,100000000,38000000000,0.0026,KHOA NDMS,1.0
