rating,spread_bps,pd_1y,pd_10y,lgd,recovery_rate,source
AAA,30,0.0001,0.001,0.45,0.55,S&P Global Ratings (2023) + Moody's
AA+,40,0.0002,0.002,0.45,0.55,S&P Global Ratings (2023) + Moody's
AA,50,0.0003,0.003,0.45,0.55,S&P Global Ratings (2023) + Moody's
AA-,60,0.0004,0.005,0.45,0.55,S&P Global Ratings (2023) + Moody's
A+,75,0.0006,0.008,0.45,0.55,S&P Global Ratings (2023) + Moody's
A,90,0.0008,0.012,0.45,0.55,S&P Global Ratings (2023) + Moody's
A-,110,0.0012,0.018,0.45,0.55,S&P Global Ratings (2023) + Moody's
BBB+,130,0.0018,0.028,0.45,0.55,S&P Global Ratings (2023) + Moody's
BBB,160,0.0025,0.042,0.45,0.55,S&P Global Ratings (2023) + Moody's
BBB-,200,0.0035,0.062,0.45,0.55,S&P Global Ratings (2023) + Moody's
BB+,250,0.0050,0.095,0.50,0.50,S&P Global Ratings (2023) + Moody's
BB,320,0.0080,0.145,0.55,0.45,S&P Global Ratings (2023) + Moody's
BB-,400,0.0120,0.205,0.55,0.45,S&P Global Ratings (2023) + Moody's
B+,500,0.0180,0.285,0.60,0.40,S&P Global Ratings (2023) + Moody's
B,650,0.0280,0.385,0.65,0.35,S&P Global Ratings (2023) + Moody's
B-,850,0.0420,0.495,0.65,0.35,S&P Global Ratings (2023) + Moody's
CCC+,1100,0.0650,0.605,0.70,0.30,S&P Global Ratings (2023) + Moody's
CCC,1400,0.1000,0.715,0.75,0.25,S&P Global Ratings (2023) + Moody's
CCC-,1800,0.1500,0.825,0.80,0.20,S&P Global Ratings (2023) + Moody's
CC,2500,0.2500,0.925,0.85,0.15,S&P Global Ratings (2023) + Moody's
C,4000,0.4000,0.985,0.90,0.10,S&P Global Ratings (2023) + Moody's
D,10000,1.0000,1.000,0.95,0.05,S&P Global Ratings (2023) + Moody's
