plant_technology,year,water_stress_loss_pct,temperature_loss_pct,combined_loss_pct,total_loss_pct,source
coal_subcritical,2030,1.7,0.4,0.2,2.3,WRI-EBRD (2015) + IEA Water-Energy (2020)
coal_subcritical,2040,2.4,0.7,0.4,3.5,WRI-EBRD (2015) + IEA Water-Energy (2020)
coal_subcritical,2050,3.2,1.0,0.6,4.8,WRI-EBRD (2015) + IEA Water-Energy (2020)
coal_supercritical,2030,1.5,0.3,0.15,1.95,WRI-EBRD (2015) + IEA Water-Energy (2020)
coal_supercritical,2040,2.1,0.6,0.3,3.0,WRI-EBRD (2015) + IEA Water-Energy (2020)
coal_supercritical,2050,2.8,0.9,0.5,4.2,WRI-EBRD (2015) + IEA Water-Energy (2020)
coal_usc,2030,1.3,0.25,0.1,1.65,WRI-EBRD (2015) + IEA Water-Energy (2020)
coal_usc,2040,1.8,0.5,0.25,2.55,WRI-EBRD (2015) + IEA Water-Energy (2020)
coal_usc,2050,2.4,0.75,0.4,3.55,WRI-EBRD (2015) + IEA Water-Energy (2020)
ccgt,2030,0.8,0.2,0.1,1.1,WRI-EBRD (2015) + IEA Water-Energy (2020)
ccgt,2040,1.1,0.35,0.15,1.6,WRI-EBRD (2015) + IEA Water-Energy (2020)
ccgt,2050,1.5,0.5,0.2,2.2,WRI-EBRD (2015) + IEA Water-Energy (2020)
nuclear,2030,1.0,0.15,0.05,1.2,WRI-EBRD (2015) + IEA Water-Energy (2020)
nuclear,2040,1.4,0.3,0.1,1.8,WRI-EBRD (2015) + IEA Water-Energy (2020)
nuclear,2050,1.9,0.45,0.15,2.5,WRI-EBRD (2015) + IEA Water-Energy (2020)
