scenario,year,wildfire,tropical_cyclone,river_flood,coastal_flood,drought,heat_stress,slr_meters,source
RCP4.5,2024,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Baseline (current climate)
RCP4.5,2030,1.10,1.02,1.05,1.10,1.08,1.15,0.05,IPCC AR6 WG1 Table 4.5 + KMA projections
RCP4.5,2050,1.30,1.05,1.15,1.25,1.20,1.50,0.15,IPCC AR6 WG1 Table 4.5 + KMA projections
RCP4.5,2100,1.50,1.10,1.25,1.50,1.35,2.00,0.40,IPCC AR6 WG1 Table 4.5 + KMA projections
RCP8.5,2024,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Baseline (current climate)
RCP8.5,2030,1.15,1.03,1.08,1.15,1.12,1.20,0.07,IPCC AR6 WG1 Table 4.8 + KMA + WWA
RCP8.5,2050,2.00,1.10,1.30,1.50,1.40,2.50,0.25,IPCC AR6 WG1 Table 4.8 + KMA + WWA
RCP8.5,2100,4.00,1.20,1.50,2.50,1.80,5.00,0.80,IPCC AR6 WG1 Table 4.8 + KMA + WWA
SSP1-2.6,2024,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Baseline (current climate)
SSP1-2.6,2030,1.08,1.01,1.04,1.08,1.06,1.12,0.04,IPCC AR6 WG1 Chapter 4
SSP1-2.6,2050,1.20,1.03,1.10,1.18,1.15,1.35,0.12,IPCC AR6 WG1 Chapter 4
SSP1-2.6,2100,1.30,1.05,1.15,1.30,1.25,1.50,0.30,IPCC AR6 WG1 Chapter 4
SSP2-4.5,2024,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Baseline (current climate)
SSP2-4.5,2030,1.10,1.02,1.05,1.10,1.08,1.15,0.05,IPCC AR6 WG1 Chapter 4
SSP2-4.5,2050,1.35,1.06,1.18,1.30,1.22,1.60,0.18,IPCC AR6 WG1 Chapter 4
SSP2-4.5,2100,1.60,1.12,1.30,1.60,1.40,2.20,0.50,IPCC AR6 WG1 Chapter 4
SSP5-8.5,2024,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Baseline (current climate)
SSP5-8.5,2030,1.15,1.03,1.08,1.15,1.12,1.20,0.07,IPCC AR6 WG1 Chapter 4
SSP5-8.5,2050,2.10,1.12,1.35,1.55,1.45,2.60,0.28,IPCC AR6 WG1 Chapter 4
SSP5-8.5,2100,4.50,1.25,1.60,2.80,2.00,5.50,0.90,IPCC AR6 WG1 Chapter 4
