region,variable,scenario,year,value,lower_bound,upper_bound,unit,source
national,temperature_anomaly,RCP4.5,2030,1.0,0.8,1.2,°C,KMA Climate Change Scenarios (2020)
national,temperature_anomaly,RCP4.5,2050,1.6,1.3,1.9,°C,KMA Climate Change Scenarios (2020)
national,temperature_anomaly,RCP4.5,2100,2.3,1.8,2.8,°C,KMA Climate Change Scenarios (2020)
national,temperature_anomaly,RCP8.5,2030,1.2,1.0,1.4,°C,KMA Climate Change Scenarios (2020)
national,temperature_anomaly,RCP8.5,2050,2.2,1.8,2.6,°C,KMA Climate Change Scenarios (2020)
national,temperature_anomaly,RCP8.5,2100,4.8,4.0,5.6,°C,KMA Climate Change Scenarios (2020)
national,heat_wave_days,RCP4.5,baseline,11.8,9.0,14.6,days/yr,KMA (1991-2020 average)
national,heat_wave_days,RCP4.5,2030,14.8,11.8,17.8,days/yr,KMA Climate Projections
national,heat_wave_days,RCP4.5,2050,19.5,15.6,23.4,days/yr,KMA Climate Projections
national,heat_wave_days,RCP4.5,2100,24.8,19.8,29.8,days/yr,KMA Climate Projections
national,heat_wave_days,RCP8.5,2030,15.9,12.7,19.1,days/yr,KMA Climate Projections
national,heat_wave_days,RCP8.5,2050,23.6,18.9,28.3,days/yr,KMA Climate Projections
national,heat_wave_days,RCP8.5,2100,41.3,33.0,49.6,days/yr,KMA Climate Projections
gangwon,sea_level_rise,RCP4.5,2030,80,52,108,mm,KHOA East Sea Projections (2021)
gangwon,sea_level_rise,RCP4.5,2050,200,140,260,mm,KHOA East Sea Projections (2021)
gangwon,sea_level_rise,RCP4.5,2100,500,350,650,mm,KHOA East Sea Projections (2021)
gangwon,sea_level_rise,RCP8.5,2030,100,68,132,mm,KHOA East Sea Projections (2021)
gangwon,sea_level_rise,RCP8.5,2050,270,189,351,mm,KHOA East Sea Projections (2021)
gangwon,sea_level_rise,RCP8.5,2100,770,540,1000,mm,KHOA East Sea Projections (2021)
national,typhoon_intensity_change,RCP4.5,2050,5,2,8,%,Park et al. (2017) J. Climate
national,typhoon_intensity_change,RCP8.5,2050,10,5,15,%,Park et al. (2017) J. Climate
national,typhoon_intensity_change,RCP8.5,2100,20,12,28,%,Park et al. (2017) J. Climate
gangwon,wildfire_risk_change,RCP4.5,2050,35,25,45,%,Korea Forest Service (2021)
gangwon,wildfire_risk_change,RCP8.5,2050,50,35,65,%,Korea Forest Service (2021)
gangwon,wildfire_risk_change,RCP8.5,2100,120,80,160,%,Korea Forest Service (2021)
national,drought_frequency_change,RCP4.5,2050,18,10,26,%,KMA Drought Assessment (2020)
national,drought_frequency_change,RCP8.5,2050,28,18,38,%,KMA Drought Assessment (2020)
national,drought_frequency_change,RCP8.5,2100,55,35,75,%,KMA Drought Assessment (2020)
samcheok,sst_anomaly,RCP4.5,2050,1.4,1.1,1.7,°C,NIFS SST Projections (2020)
samcheok,sst_anomaly,RCP8.5,2050,2.0,1.6,2.4,°C,NIFS SST Projections (2020)
samcheok,sst_anomaly,RCP8.5,2100,4.2,3.4,5.0,°C,NIFS SST Projections (2020)
