section,hazard,value,unit,source,doi
BASE_RISK,Wildfire,0.0550%,annual outage,Kim et al. (2025) Natural Hazards,10.1007/s11069-025-07169-4
BASE_RISK,Flood,0.0030%,annual outage,Kang & Lee (2024) Water,10.3390/w16202987
BASE_RISK,TC,N/A,not modeled,Literature does not include TC,N/A
BASE_RISK,SLR_derate,0.22%,per meter,Van Vliet et al. (2016),10.1038/nclimate2903
CLIMATE_FACTOR_2030_RCP85,Wildfire,1.30x,multiplier,WWA (2025) interpolated,worldweatherattribution.org
CLIMATE_FACTOR_2030_RCP85,Flood,1.29x,multiplier,KSCCR (2024) +29%,jccr.re.kr
CLIMATE_FACTOR_2030_RCP85,TC,N/A,not modeled,N/A,N/A
CLIMATE_FACTOR_2030_RCP85,SLR,0.06m,meters,CMIP6 (2021),10.3390/atmos12010090
CLIMATE_FACTOR_2050_RCP85,Wildfire,2.00x,multiplier,WWA (2025) 2x current,worldweatherattribution.org
CLIMATE_FACTOR_2050_RCP85,Flood,1.46x,multiplier,KSCCR (2024) +46%,jccr.re.kr
CLIMATE_FACTOR_2050_RCP85,TC,N/A,not modeled,N/A,N/A
CLIMATE_FACTOR_2050_RCP85,SLR,0.18m,meters,CMIP6 (2021),10.3390/atmos12010090
CLIMATE_FACTOR_2100_RCP85,Wildfire,4.00x,multiplier,WWA (2025) 2x×2x,worldweatherattribution.org
CLIMATE_FACTOR_2100_RCP85,Flood,2.64x,multiplier,npj Clim (2025) 3.7x freq,10.1038/s41612-025-01067-z
CLIMATE_FACTOR_2100_RCP85,TC,N/A,not modeled,N/A,N/A
CLIMATE_FACTOR_2100_RCP85,SLR,0.63m,meters,CMIP6 (2021),10.3390/atmos12010090
OUTPUT_2024,Total,0.0580%,cf_reduction,Wildfire + Flood only,N/A
OUTPUT_2050_RCP85,Total,0.1535%,cf_reduction,Base × Climate Factors,N/A
OUTPUT_2100_RCP85,Total,0.3634%,cf_reduction,Base × Climate Factors,N/A
