section,hazard,value,unit,source,method
BASE_RISK,Wildfire,0.0082%,annual outage,NASA FIRMS via CLIMADA,6 events in 20 years at location
BASE_RISK,Flood,0.0000%,annual outage,ISIMIP via CLIMADA,0 events (plant at 10m elevation)
BASE_RISK,TC,0.0205%,annual outage,IBTrACS via CLIMADA,15 events in 40 years (5 damaging)
BASE_RISK,SLR_derate,0.22%,per meter,Van Vliet (literature),Engineering estimate
CLIMATE_FACTOR_2030_RCP85,Wildfire,N/A,not available,CLIMADA lacks wildfire projections,Use literature WWA (2025)
CLIMATE_FACTOR_2030_RCP85,Flood,ISIMIP2b,multiplier,CLIMADA ISIMIP2b RCP8.5,year_range: 2010_2030
CLIMATE_FACTOR_2030_RCP85,TC,1.08x,multiplier,apply_climate_scenario_knu(),Knutson et al. (2020)
CLIMATE_FACTOR_2030_RCP85,SLR,0.06m,meters,CMIP6 literature,Not in CLIMADA
CLIMATE_FACTOR_2050_RCP85,Wildfire,N/A,not available,CLIMADA lacks wildfire projections,Use literature WWA (2025)
CLIMATE_FACTOR_2050_RCP85,Flood,ISIMIP2b,multiplier,CLIMADA ISIMIP2b RCP8.5,year_range: 2030_2050
CLIMATE_FACTOR_2050_RCP85,TC,1.15x,multiplier,apply_climate_scenario_knu(),Knutson et al. (2020)
CLIMATE_FACTOR_2050_RCP85,SLR,0.18m,meters,CMIP6 literature,Not in CLIMADA
CLIMATE_FACTOR_2100_RCP85,Wildfire,N/A,not available,CLIMADA lacks wildfire projections,Use literature WWA (2025)
CLIMATE_FACTOR_2100_RCP85,Flood,ISIMIP2b,multiplier,CLIMADA ISIMIP2b RCP8.5,year_range: 2070_2090
CLIMATE_FACTOR_2100_RCP85,TC,1.25x,multiplier,apply_climate_scenario_knu(),Knutson et al. (2020)
CLIMATE_FACTOR_2100_RCP85,SLR,0.63m,meters,CMIP6 literature,Not in CLIMADA
OUTPUT_2024,Total,0.0287%,cf_reduction,Wildfire + Flood + TC,CLIMADA baseline only
OUTPUT_2050_RCP85,Total,0.0794%,cf_reduction,Needs literature for wildfire,Hybrid approach
OUTPUT_2100_RCP85,Total,0.1962%,cf_reduction,Needs literature for wildfire,Hybrid approach
