component,hazard,value,unit,source,verification_status,direct_quote_or_derivation,notes
BASE_2024,Wildfire,0.0082%,annual_outage,CLIMADA API (NASA FIRMS),VERIFIED,6 events / 20 years × P(outage)=0.1 × 24hr/8760hr,Directly from API call at Samcheok
BASE_2024,Tropical Cyclone,0.0205%,annual_outage,CLIMADA API (IBTrACS),VERIFIED,5 damaging events / 40 years × P(outage)=0.3 × 48hr/8760hr,Events >30 m/s wind
BASE_2024,River Flood,0.0000%,annual_outage,CLIMADA API (ISIMIP),VERIFIED,0 events at location,Riverine only; 10m elevation coastal site
BASE_2024,Sea Level Rise,0.00m,meters,CMIP6 baseline,VERIFIED,2020 baseline,Relative to present
BASE_2024,TOTAL,0.0287%,annual_outage,CLIMADA only,VERIFIED,Sum of above,Conservative estimate
RCP85_2030,Wildfire,0.0164%,annual_outage,CLIMADA + WWA 2025,DERIVED,0.0082% × 2.0x,"WWA states '2x current' but for 1.3°C; 2030 interpolated"
RCP85_2030,Tropical Cyclone,0.0215%,annual_outage,CLIMADA + Knutson 2020,DERIVED,0.0205% × 1.05x,Knutson: +1-10% per 2°C; conservative +5% for 0.5°C
RCP85_2030,River Flood,0.0000%,annual_outage,CLIMADA (all scenarios),VERIFIED,0 events in RCP26/60/85 2030-2050,No riverine flooding at location
RCP85_2030,Sea Level Rise,0.06m,meters,CMIP6 interpolated,ASSUMED,Linear interpolation to 0.63m by 2100,Not directly stated in paper
RCP85_2050,Wildfire,0.0164%,annual_outage,CLIMADA + WWA 2025,VERIFIED,0.0082% × 2.0x,"WWA: 'twice as likely' at current 1.3°C warming"
RCP85_2050,Tropical Cyclone,0.0225%,annual_outage,CLIMADA + Knutson 2020,DERIVED,0.0205% × 1.10x,Knutson: +10% upper bound for 2°C warming
RCP85_2050,River Flood,0.0000%,annual_outage,CLIMADA (RCP85 2050-2070),VERIFIED,0 events at location,Checked RCP85 2050-2070 scenario
RCP85_2050,Sea Level Rise,0.18m,meters,CMIP6 interpolated,ASSUMED,Linear interpolation to 0.63m by 2100,Not directly stated in paper
RCP85_2100,Wildfire,0.0328%,annual_outage,CLIMADA + WWA 2025,VERIFIED,0.0082% × 4.0x,"WWA: 'further doubling' at 2.6°C = 4x total"
RCP85_2100,Tropical Cyclone,0.0225%,annual_outage,CLIMADA + Knutson 2020,DERIVED,0.0205% × 1.10x,Knutson: +1-10% per 2°C (using upper bound)
RCP85_2100,River Flood,0.0000%,annual_outage,CLIMADA (RCP85 2070-2090),VERIFIED,0 events at location,Checked RCP85 2070-2090 scenario
RCP85_2100,Sea Level Rise,0.63m,meters,CMIP6 Korea projection,VERIFIED,"0.63m (0.50-0.76m) stated in paper",DOI:10.3390/jmse9101094
