year,power_plan,total_coal_gw,total_lng_gw,nuclear_gw,solar_gw,wind_gw,hydro_gw,hydrogen_ammonia_gw,pumped_storage_gw,carbon_free_pct,policy_reference,scenario_type,notes
2024,official_11th_plan,26.7,43.2,24.7,25.0,1.7,1.8,0.0,4.8,38.2,11th Basic Plan (제2025-169호),historical,Baseline 2024 actual cumulative capacity
2025,official_11th_plan,25.5,44.8,25.2,27.3,2.7,1.8,0.0,4.9,40.3,11th Basic Plan (제2025-169호),official_11th_plan,Accelerated coal reduction starts
2026,official_11th_plan,24.3,46.4,25.7,29.7,3.7,1.8,0.1,5.0,42.5,11th Basic Plan (제2025-169호),official_11th_plan,Renewable expansion continues
2027,official_11th_plan,23.0,48.0,26.2,32.0,4.8,1.8,0.2,5.1,44.8,11th Basic Plan (제2025-169호),official_11th_plan,Solar + wind growth accelerates
2028,official_11th_plan,21.8,49.6,26.7,34.4,5.8,1.8,0.3,5.2,47.0,11th Basic Plan (제2025-169호),official_11th_plan,Grid integration improvements
2029,official_11th_plan,20.0,51.2,27.2,36.7,7.9,1.8,0.4,5.3,49.7,11th Basic Plan (제2025-169호),official_11th_plan,Pre-2030 NDC acceleration
2030,official_11th_plan,18.0,52.8,27.7,39.0,10.0,1.8,0.5,5.4,52.0,11th Basic Plan (제2025-169호),official_11th_plan,NDC 2030 target reached
2031,official_11th_plan,16.5,54.4,28.1,43.8,13.8,1.8,0.6,5.5,55.2,11th Basic Plan (제2025-169호),official_11th_plan,Post-NDC trajectory
2032,official_11th_plan,15.0,56.0,28.5,48.6,17.7,1.8,0.7,5.6,58.4,11th Basic Plan (제2025-169호),official_11th_plan,Coal phase-out continues
2033,official_11th_plan,13.5,57.6,28.9,53.4,21.5,1.8,0.8,5.7,61.6,11th Basic Plan (제2025-169호),official_11th_plan,Renewable capacity building
2034,official_11th_plan,12.0,59.2,29.3,58.2,25.3,1.8,0.9,5.8,64.8,11th Basic Plan (제2025-169호),official_11th_plan,Grid constraints addressed
2035,official_11th_plan,10.5,60.8,29.7,63.0,29.2,1.8,1.0,5.9,68.0,11th Basic Plan (제2025-169호),official_11th_plan,Hydrogen/ammonia introduction
2036,official_11th_plan,9.0,62.4,30.1,67.8,33.0,1.8,1.1,6.0,71.2,11th Basic Plan (제2025-169호),official_11th_plan,11th Plan endpoint
2037,official_11th_plan,7.5,63.0,30.6,72.5,36.9,1.8,1.5,6.5,74.4,11th Basic Plan (제2025-169호),official_11th_plan,SMR deployment begins
2038,official_11th_plan,3.6,63.6,31.1,77.2,40.7,1.8,1.9,7.0,72.5,11th Basic Plan (제2025-169호),official_11th_plan,Carbon-free 72.5% target (2040 exit aligned)
2039,official_11th_plan,1.8,64.2,31.6,82.0,44.5,1.8,2.3,7.5,79.8,11th Basic Plan (제2025-169호),official_11th_plan,Final coal plants phase-out
2040,official_11th_plan,0.0,64.8,32.1,86.8,48.3,1.8,2.7,8.0,83.0,11th Basic Plan (제2025-169호),official_11th_plan,Coal phase-out complete (대통령 공약)
2041,official_11th_plan,0.0,65.4,32.6,91.6,52.1,1.8,3.1,8.5,86.5,11th Basic Plan (제2025-169호),official_11th_plan,Post-coal clean energy
2042,official_11th_plan,0.0,66.0,33.1,96.4,55.9,1.8,3.5,9.0,89.5,11th Basic Plan (제2025-169호),official_11th_plan,Renewable expansion continues
2043,official_11th_plan,0.0,66.6,33.6,101.2,59.7,1.8,3.9,9.5,90.7,11th Basic Plan (제2025-169호),official_11th_plan,Post-coal optimization
2044,official_11th_plan,0.0,67.2,34.1,106.0,63.5,1.8,4.3,10.0,93.5,11th Basic Plan (제2025-169호),official_11th_plan,Renewable dominance
2045,official_11th_plan,0.0,67.8,34.6,110.8,67.3,1.8,4.7,10.5,96.2,11th Basic Plan (제2025-169호),official_11th_plan,Net-zero pathway
