param_name,value,unit,description
AAA_spread_bps,20,bps,Spread for AAA rating
AA_spread_bps,40,bps,Spread for AA rating
A_spread_bps,80,bps,Spread for A rating
BBB_spread_bps,150,bps,Spread for BBB rating
BB_spread_bps,300,bps,Spread for BB rating
B_spread_bps,600,bps,Spread for B rating
CCC_spread_bps,1200,bps,Spread for CCC rating
Default_spread_bps,2000,bps,Spread for Default
recovery_rate,0.40,decimal,Recovery rate in default
liquidity_premium,50,bps,Illiquidity premium for project finance
covenant_breach_penalty,100,bps,Step-up on covenant breach
