scenario_name,hazard_type,parameter,value,unit,description
Baseline (Corrected),Wildfire,outage_rate,0.0005,ratio,Baseline wildfire outage rate ~0.05%
Baseline (Corrected),Drought,capacity_derate,0.0,ratio,Baseline drought derate
Baseline (Corrected),Heat,efficiency_loss,0.0,ratio,Baseline cooling efficiency loss
Baseline (Corrected),Water,availability,1.0,ratio,Water availability percentage
Moderate Physical Risk (Corrected),Wildfire,outage_rate,0.00075,ratio,Moderate wildfire (1.5x baseline)
Moderate Physical Risk (Corrected),Drought,capacity_derate,0.005,ratio,Moderate drought derate 0.5%
Moderate Physical Risk (Corrected),Heat,efficiency_loss,0.002,ratio,Moderate cooling efficiency loss 0.2%
Moderate Physical Risk (Corrected),Water,availability,0.98,ratio,Water availability 98%
High Physical Risk (Corrected),Wildfire,outage_rate,0.001,ratio,High wildfire (2.0x baseline)
High Physical Risk (Corrected),Drought,capacity_derate,0.01,ratio,High drought derate 1%
High Physical Risk (Corrected),Heat,efficiency_loss,0.005,ratio,High cooling efficiency loss 0.5%
High Physical Risk (Corrected),Water,availability,0.95,ratio,Water availability 95%
Extreme Physical Risk (Corrected),Wildfire,outage_rate,0.002,ratio,Extreme wildfire (4.0x baseline)
Extreme Physical Risk (Corrected),Drought,capacity_derate,0.02,ratio,Extreme drought derate 2%
Extreme Physical Risk (Corrected),Heat,efficiency_loss,0.01,ratio,Extreme cooling efficiency loss 1%
Extreme Physical Risk (Corrected),Water,availability,0.90,ratio,Water availability 90%
baseline,Wildfire,outage_rate,0.0005,ratio,Baseline wildfire outage rate
baseline,Drought,capacity_derate,0.0,ratio,Baseline drought derate
baseline,Heat,efficiency_loss,0.0,ratio,Baseline cooling efficiency loss
baseline,Water,availability,1.0,ratio,Water availability percentage
moderate_physical,Wildfire,outage_rate,0.00075,ratio,Moderate wildfire
moderate_physical,Drought,capacity_derate,0.005,ratio,Moderate drought derate
moderate_physical,Heat,efficiency_loss,0.002,ratio,Moderate cooling efficiency loss
moderate_physical,Water,availability,0.98,ratio,Water availability 98%
high_physical,Wildfire,outage_rate,0.001,ratio,High wildfire
high_physical,Drought,capacity_derate,0.01,ratio,High drought derate
high_physical,Heat,efficiency_loss,0.005,ratio,High cooling efficiency loss
high_physical,Water,availability,0.95,ratio,Water availability 95%
severe_drought,Wildfire,outage_rate,0.0005,ratio,Baseline wildfire
severe_drought,Drought,capacity_derate,0.05,ratio,Severe drought 5% derate
severe_drought,Heat,efficiency_loss,0.02,ratio,Heat stress 2% efficiency loss
severe_drought,Water,availability,0.50,ratio,Water availability 50%
